RRM_Input_Table_Field_Name,PEM_Field_1,PEM_Field_2,PEM_Field_3
Eco_sec,ECO_SEC,ECO_SEC,ECO_SEC
Bgc_zone,BGC_ZONE,BGC_ZONE,BGC_ZONE
Bgc_subzon,BGC_SUBZON,BGC_SUBZON,BGC_SUBZON
Bgc_vrt,BGC_VRT,BGC_VRT,BGC_VRT
Bgc_phase,BGC_PHASE,BGC_PHASE,BGC_PHASE
Beumc,BEUMC_S1,BEUMC_S2,BEUMC_S3
Slope_mod,SLOPE_MOD,SLOPE_MOD,SLOPE_MOD
Site_m3a,SITE_M3A,SITE_M3A,SITE_M3A
Snow_code,SNOW_CODE,SNOW_CODE,SNOW_CODE
Above_Elev_Thold,ABOVE_ELEV_THOLD,ABOVE_ELEV_THOLD,ABOVE_ELEV_THOLD
Crown_Bear,CROWN_BEAR_1,CROWN_BEAR_2,CROWN_BEAR_3
Strct_d,STRCT_S1,STRCT_S2,STRCT_S3
Stand_d,STAND_A1,STAND_A2,STAND_A3
