Original BEU,Code_Orig,WL% 0-7 (no changes),Code_WL0,WL% 8-14,Code_WL1,WL% 15-24,Code_WL2,WL% 25-34,Code_WL3,WL% 35-44,Code_WL4,WL% 45-54,Code_WL5,WL% 55-64,Code_WL6,WL% 65-74,Code_WL7,WL% 75-79,Code_WL8,WL% 80-100,Code_WL10
10 XX (not in Table 1),10000,10 XX,10000,"9 XX, 1 WL",9102,"8 XX, 2 WL",8202,"7 XX, 3 WL",7302,"6 XX, 4 WL",6402,"5 XX, 5 WL",5502,"6 WL, 4 XX",6401,"7 WL, 3 XX",7301,"8 WL, 2 XX",8201,10 WL,10001
"9 WL, 1 XX",9101,"9 WL, 1 XX",9101,"9 XX, 1 WL",9102,"8 XX, 2 WL",8202,"7 XX, 3 WL",7302,"6 XX, 4 WL",6402,"5 WL, 5 XX",5501,"6 WL, 4 XX",6401,"7 WL, 3 XX",7301,"8 WL, 2 XX",8201,10 WL,10001
"9 XX, 1 WL",9102,"9 XX, 1 WL",9102,"9 XX, 1 WL",9102,"8 XX, 2 WL",8202,"7 XX, 3 WL",7302,"6 XX, 4 WL",6402,"5 XX, 5 WL",5502,"6 WL, 4 XX",6401,"7 WL, 3 XX",7301,"8 WL, 2 XX",8201,10 WL,10001
"9 XX, 1 XY",9100,"9 XX, 1 XY",9100,"8 XX, 1 XY, 1 WL",8113,"7 XX, 2 WL, 1 XY",7212,"6 XX, 3 WL, 1 XY",6312,"5 XX, 4 WL, 1 XY",5412,"5 WL, 4 XX, 1 XY",5411,"6 WL, 3 XX, 1 XY",6311,"7 WL, 2 XX, 1 XY",7211,"8 WL, 1 XX, 1 XY",8111,10 WL,10001
"8 WL, 2 XX",8201,"8 WL, 2 XX",8201,"9 XX, 1 WL",9102,"8 XX, 2 WL",8202,"7 XX, 3 WL",7302,"6 XX, 4 WL",6402,"5 WL, 5 XX",5501,"6 WL, 4 XX",6401,"7 WL, 3 XX",7301,"8 WL, 2 XX",8201,10 WL,10001
"8 XX, 2 WL",8202,"8 XX, 2 WL",8202,"9 XX, 1 WL",9102,"8 XX, 2 WL",8202,"7 XX, 3 WL",7302,"6 XX, 4 WL",6402,"5 XX, 5 WL",5502,"6 WL, 4 XX",6401,"7 WL, 3 XX",7301,"8 WL, 2 XX",8201,10 WL,10001
"8 XX, 2 XY",8200,"8 XX, 2 XY",8200,"8 XX, 1 XY, 1 WL",8113,"6 XX, 2 XY, 2 WL",6223,"6 XX, 3 WL, 1 XY",6312,"5 XX, 4 WL, 1 XY",5412,"5 WL, 4 XX, 1 XY",5411,"6 WL, 3 XX, 1 XY",6311,"7 WL, 2 XX, 1 XY",7211,"8 WL, 1 XX, 1 XY",8111,10 WL,10001
"8 WL, 1 XX, 1 XY",8111,"8 WL, 1 XX, 1 XY",8111,"8 XX, 1 WL, 1 XY",8112,"4 XX, 4 XY, 2 WL",4423,"4 XX, 3 XY, 3 WL",4333,"4 WL, 3 XX, 3 XY",4331,"5 WL, 3 XX, 2 XY",5321,"6 WL, 2 XX, 2 XY",6221,"7 WL, 2 XX, 1 XY",7211,"8 WL, 1 XX, 1 XY",8111,10 WL,10001
"8 XX, 1 WL, 1 XY",8112,"8 XX, 1 WL, 1 XY",8112,"8 XX, 1 WL, 1 XY",8112,"7 XX, 2 WL, 1 XY",7212,"6 XX, 3 WL, 1 XY",6312,"5 XX, 4 WL, 1 XY",5412,"5 WL, 4 XX, 1 XY",5411,"6 WL, 3 XX, 1 XY",6311,"7 WL, 2 XX, 1 XY",7211,"8 WL, 1 XX, 1 XY",8111,10 WL,10001
"8 XX, 1 XY, 1 WL",8113,"8 XX, 1 XY, 1 WL",8113,"8 XX, 1 XY, 1 WL",8113,"7 XX, 2 WL, 1 XY",7212,"6 XX, 3 WL, 1 XY",6312,"5 XX, 4 WL, 1 XY",5412,"5 WL, 4 XX, 1 XY",5411,"6 WL, 3 XX, 1 XY",6311,"7 WL, 2 XX, 1 XY",7211,"8 WL, 1 XX, 1 XY",8111,10 WL,10001
