Eco_sec,Bgc_zone,Bgc_subzon,Bgc_vrt,Bgc_phase,Beumc,Slope_mod,Site_m3a,Snow_code,Above_Elev_Thold,Crown_Bear,Strct_d,Stand_d,Forested,Hectares,MURAR_PEFD_6C
NEU,ESSF,mc,,,EF,,,,N,,2,,Y,2.0714E+14,5
BUB,SBS,dk,,,SL,,,,N,,2,,Y,7.18505E+14,5
BUB,SBS,dk,,,DF,,,,N,,2,,Y,2.28693E+13,5
BUB,SBS,dk,,,UR,,,,N,,,,N,3.75007E+11,6
BUB,SBS,dk,,,WR,,,,N,,2,,Y,1.3457E+12,2
BAU,SBS,mc,2,,SF,,,,N,,2,,Y,1.85134E+14,4
NEU,SBS,dk,,,SL,,,,N,,2,,Y,2.05165E+13,5
NEU,SBS,dk,,,LL,,,,N,,,,N,1.4623E+12,6
BUB,SBS,mc,2,,SL,,,,N,,2,,Y,1.57477E+14,4
BUB,ESSF,mc,,,EF,,,,N,,2,,Y,1.28249E+13,5
BUB,SBS,dk,,,LL,,,,N,,,,N,4.26502E+12,6
NEU,SBS,mc,2,,SL,,,,N,,2,,Y,1.42062E+14,4
BUB,SBS,mc,2,,SF,,,,N,,2,,Y,3.60634E+13,4
BUB,SBS,dk,,,BB,,,,N,,2,,N,2.0945E+12,3
BUB,SBS,mc,2,,DF,,,,N,,2,,Y,1.32937E+13,5
BUB,SBS,dk,,,SF,,,,N,,2,,Y,7.36457E+11,4
BUB,SBS,dw,3,,SL,,,,N,,2,,Y,1.22166E+13,5
BUB,SBS,dk,,,GP,,,,N,,1,,N,2.46587E+11,6
BAU,SBS,mc,2,,SL,,,,N,,2,,Y,4.91966E+13,4
BAU,ESSF,mv,1,,EF,,,,N,,2,,Y,1.20161E+13,5
BAU,SBS,dk,,,SL,,,,N,,2,,Y,2.78688E+13,5
BAU,SBS,dw,3,,SL,,,,N,,2,,Y,1.5433E+12,5
BAU,SBS,wk,3,,SF,,,,N,,2,,Y,7.54485E+12,4
BAU,ESSF,mv,3,,EF,,,,N,,2,,Y,1.4683E+13,5
NAU,SBPS,mc,,,SL,,,,N,,2,,Y,1.02805E+12,5
BUB,SBS,dk,,,WR,,a,,N,,2,,Y,2.00778E+12,1
BUB,SBS,dk,,,CF,,,,N,,2b,,N,3.36032E+12,4
BUB,SBS,dk,,,UV,,,,N,,1,,N,4.20361E+11,5
BUB,SBS,dk,,,LS,,,,N,,,,N,5.50251E+12,6
BUB,SBS,dk,,,OW,,,,N,,,,N,2.43075E+12,5
BUB,SBS,dk,,,DF,,a,,N,,2,,Y,53174750767,5
BUB,ESSF,mv,1,,EF,,,,N,,2,,Y,8.72381E+11,5
BUB,SBS,dk,,,SL,,,,N,1,7a,,Y,5.20934E+13,5
BUB,SBS,dk,,,SL,,,,N,,7a,,Y,3.78185E+12,5
BAU,SBS,mc,2,,SF,,,,N,1,7a,,Y,1.55109E+13,4
BUB,SBS,mc,2,,SL,,,,N,2,5,C,Y,1.031E+12,4
