BGC Subzone,BEU_#,Name,Script rule,Change to BEU =
BAFAun,AC,Trembling Aspen Copse,Error,AS
BAFAunp,AC,Trembling Aspen Copse,Error,AS
ESSFmc,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFmcp,AC,Trembling Aspen Copse,Error,SU
ESSFmm,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFmmp,AC,Trembling Aspen Copse,Error,SU
ESSFmv,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFmvp,AC,Trembling Aspen Copse,Error,SU
ESSFvc,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFwc,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFwcp,AC,Trembling Aspen Copse,Error,SU
ESSFwcw,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFwk,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFwv,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFxv,AC,Trembling Aspen Copse,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ICHmc,AC,Trembling Aspen Copse,Error,SA
ICHmm,AC,Trembling Aspen Copse,Error,SA
ICHvk,AC,Trembling Aspen Copse,Error,SA
ICHwk,AC,Trembling Aspen Copse,Error,SA
SBPSdc,AC,Trembling Aspen Copse,Allowed,
SBPSmc,AC,Trembling Aspen Copse,Allowed,
SBPSmk,AC,Trembling Aspen Copse,Allowed,
SBSdh,AC,Trembling Aspen Copse,Error,SA
SBSdk,AC,Trembling Aspen Copse,Error,SA
SBSdw,AC,Trembling Aspen Copse,Error,SA
SBSmc,AC,Trembling Aspen Copse,Error,SA
SBSmh,AC,Trembling Aspen Copse,Error,SA
SBSmk,AC,Trembling Aspen Copse,Error,SA
SBSmw,AC,Trembling Aspen Copse,Error,SA
SBSvk,AC,Trembling Aspen Copse,Error,SA
SBSwk,AC,Trembling Aspen Copse,Error,SA
ESSFmc,AD,Sitka Alder Devils-club Shrub,Allowed,
ESSFmm,AD,Sitka Alder Devils-club Shrub,Allowed,
ESSFmv,AD,Sitka Alder Devils-club Shrub,Allowed,
ESSFvc,AD,Sitka Alder Devils-club Shrub,Allowed,
ESSFwc,AD,Sitka Alder Devils-club Shrub,Allowed,
ESSFwcw,AD,Sitka Alder Devils-club Shrub,Allowed,
ESSFwk,AD,Sitka Alder Devils-club Shrub,Allowed,
ESSFwv,AD,Sitka Alder Devils-club Shrub,Allowed,
ESSFxv,AD,Sitka Alder Devils-club Shrub,Allowed,
BAFAun,AG,Alpine Grassland,Correct match of BEC and BEU,
BAFAunp,AG,Alpine Grassland,Correct match of BEC and BEU,
BWBSmk,AG,Alpine Grassland (check where this occurs; meant for Alpine Tundra),Error,SG
ESSFmcp,AG,Alpine Grassland,Allowed,
ESSFmkp,AG,Alpine Grassland,Allowed,
ESSFmm,AG,Alpine Grassland,Correct match of BEC and BEU,
ESSFmmp,AG,Alpine Grassland,Correct match of BEC and BEU,
SWBmk,AG,Alpine Grassland (check where this occurs; meant for Alpine Tundra),Error,SG
SWBmks,AG,Alpine Grassland (check where this occurs; meant for Alpine Tundra),Error,SG
BAFAun,AH,Alpine Heath,Correct match of BEC and BEU,
BAFAunp,AH,Alpine Heath,Correct match of BEC and BEU,
ESSFmc,AH,Alpine Heath,Error,FP
ESSFmm,AH,Alpine Heath,Error,FP
ESSFmv,AH,Alpine Heath,Error,FP
ESSFvc,AH,Alpine Heath,Error,FP
ESSFwc,AH,Alpine Heath,Error,FP
ESSFwcp,AH,Alpine Heath,Correct match of BEC and BEU,
ESSFwcw,AH,Alpine Heath,Error,FP
ESSFwk,AH,Alpine Heath,Error,FP
ESSFwv,AH,Alpine Heath,Error,FP
ESSFxv,AH,Alpine Heath,Error,FP
IMAun,AH,Alpine Heath,Correct match of BEC and BEU,
MHmm,AH,Alpine Heath,Error,HP
MHmmp,AH,Alpine Heath,Error,HP
