BGC Subzone,BEU_#,Name,Script rule,Change to BEU =
BAFAun,AM,Alpine Meadow,Correct match of BEC and BEU,
BAFAunp,AM,Alpine Meadow,Correct match of BEC and BEU,
BWBSdk,AM,Alpine Meadow,Error,ME
BWBSmk,AM,Alpine Meadow,Error,ME
BWBSmw,AM,Alpine Meadow,Error,ME
BWBSwk,AM,Alpine Meadow,Error,ME
CMAun,AM,Alpine Meadow,Allowed,
CMAunp,AM,Alpine Meadow,Allowed,
CWHvm,AM,Alpine Meadow,Error,ME
ESSFmc,AM,Alpine Meadow,Error,ME
ESSFmcp,AM,Alpine Meadow,Correct match of BEC and BEU,
ESSFmk,AM,Alpine Meadow,Error,ME
ESSFmkp,AM,Alpine Meadow,Error,SM
ESSFmm,AM,Alpine Meadow,Error,ME
ESSFmmp,AM,Alpine Meadow,Correct match of BEC and BEU,
ESSFmv,AM,Alpine Meadow,Error,ME
ESSFmvp,AM,Alpine Meadow,Correct match of BEC and BEU,
ESSFun,AM,Alpine Meadow,Error,SM
ESSFunp,AM,Alpine Meadow,Error,SM
ESSFvc,AM,Alpine Meadow,Error,ME
ESSFwc,AM,Alpine Meadow,Error,ME
ESSFwcp,AM,Alpine Meadow,Correct match of BEC and BEU,
ESSFwcw,AM,Alpine Meadow,Error,ME
ESSFwk,AM,Alpine Meadow,Error,ME
ESSFwv,AM,Alpine Meadow,Error,ME
ESSFwvp,AM,Alpine Meadow,Correct match of BEC and BEU,
ESSFxv,AM,Alpine Meadow,Error,ME
IMAun,AM,Alpine Meadow,Correct match of BEC and BEU,
MHmm,AM,Alpine Meadow,Error,ME
MHmmp,AM,Alpine Meadow,Error,SM
SWBmk,AM,Alpine Meadow,Error,SM
SWBmks,AM,Alpine Meadow,Error,SM
BAFAun,AN,Alpine Sparsely Vegetated,Correct match of BEC and BEU,
BAFAunp,AN,Alpine Sparsely Vegetated,Correct match of BEC and BEU,
ESSFmc,AN,Alpine Sparsely Vegetated,Error,UV
ESSFmm,AN,Alpine Sparsely Vegetated,Error,UV
ESSFmv,AN,Alpine Sparsely Vegetated,Error,UV
ESSFmvp,AN,Alpine Sparsely Vegetated,Correct match of BEC and BEU,
ESSFvc,AN,Alpine Sparsely Vegetated,Error,UV
ESSFwc,AN,Alpine Sparsely Vegetated,Error,UV
ESSFwcp,AN,Alpine Sparsely Vegetated,Correct match of BEC and BEU,
ESSFwcw,AN,Alpine Sparsely Vegetated,Error,UV
ESSFwk,AN,Alpine Sparsely Vegetated,Error,UV
ESSFwv,AN,Alpine Sparsely Vegetated,Error,UV
ESSFxv,AN,Alpine Sparsely Vegetated,Error,UV
BAFAun,AS,Alpine Shrub,Correct match of BEC and BEU,
BAFAunp,AS,Alpine Shrub,Correct match of BEC and BEU,
ESSFmcp,AS,Alpine Shrub,Correct match of BEC and BEU,
ESSFmvp,AS,Alpine Shrub,Correct match of BEC and BEU,
BAFAun,AT,Alpine Tundra,Correct match of BEC and BEU,
BAFAunp,AT,Alpine Tundra,Correct match of BEC and BEU,
BWBSdk,AT,Alpine Tundra,Error,UV
BWBSmk,AT,Alpine Tundra,Error,UV
BWBSmw,AT,Alpine Tundra,Error,UV
BWBSwk,AT,Alpine Tundra,Error,UV
CMAun,AT,Alpine Tundra,Allowed,
CMAunp,AT,Alpine Tundra,Allowed,
CWHvm,AT,Alpine Tundra,Error,UV
ESSFmc,AT,Alpine Tundra,Error,UV
ESSFmcp,AT,Alpine Tundra,Correct match of BEC and BEU,
ESSFmk,AT,Alpine Tundra,Error,UV
ESSFmkp,AT,Alpine Tundra,Allowed,
ESSFmm,AT,Alpine Tundra,Error,UV
ESSFmmp,AT,Alpine Tundra,Correct match of BEC and BEU,
ESSFmv,AT,Alpine Tundra,Error,UV
ESSFmvp,AT,Alpine Tundra,Correct match of BEC and BEU,
ESSFun,AT,Alpine Tundra,Error,UV
ESSFunp,AT,Alpine Tundra,Error,UV
ESSFvc,AT,Alpine Tundra,Error,UV
ESSFwc,AT,Alpine Tundra,Error,UV
ESSFwcp,AT,Alpine Tundra,Correct match of BEC and BEU,
ESSFwcw,AT,Alpine Tundra,Error,UV
ESSFwk,AT,Alpine Tundra,Error,UV
ESSFwv,AT,Alpine Tundra,Error,UV
ESSFwvp,AT,Alpine Tundra,Correct match of BEC and BEU,
ESSFxv,AT,Alpine Tundra,Error,UV
ICHmm,AT,Alpine Tundra,Error,UV
IMAun,AT,Alpine Tundra,Correct match of BEC and BEU,
MHmm,AT,Alpine Tundra,Error,UV
MHmmp,AT,Alpine Tundra,Error,HP
SBSvk,AT,Alpine Tundra,Error,UV
SWBmk,AT,Alpine Tundra,Error,SU
SWBmks,AT,Alpine Tundra,Error,SU
BAFAun,AU,Alpine Unvegetated,Correct match of BEC and BEU,
BAFAunp,AU,Alpine Unvegetated,Correct match of BEC and BEU,
BWBSdk,AU,Alpine Unvegetated,Error,UV
BWBSmk,AU,Alpine Unvegetated,Error,UV
BWBSmw,AU,Alpine Unvegetated,Error,UV
BWBSwk,AU,Alpine Unvegetated,Error,UV
CMAun,AU,Alpine Unvegetated,Allowed,
CMAunp,AU,Alpine Unvegetated,Allowed,
CWHvh,AU,Alpine Unvegetated,Error,UV
CWHvm,AU,Alpine Unvegetated,Error,UV
CWHws,AU,Alpine Unvegetated,Error,UV
ESSFmc,AU,Alpine Unvegetated,Error,UV
ESSFmcp,AU,Alpine Unvegetated,Error ,UV
ESSFmk,AU,Alpine Unvegetated,Error,UV
ESSFmkp,AU,Alpine Unvegetated,Error,UV
ESSFmm,AU,Alpine Unvegetated,Error,UV
ESSFmmp,AU,Alpine Unvegetated,Error ,UV
ESSFmv,AU,Alpine Unvegetated,Error,UV
ESSFmvp,AU,Alpine Unvegetated,Error ,UV
ESSFun,AU,Alpine Unvegetated,Error,UV
ESSFunp,AU,Alpine Unvegetated,Error,UV
ESSFvc,AU,Alpine Unvegetated,Error,UV
ESSFwc,AU,Alpine Unvegetated,Error,UV
ESSFwcp,AU,Alpine Unvegetated,Error ,UV
ESSFwcw,AU,Alpine Unvegetated,Error,UV
ESSFwk,AU,Alpine Unvegetated,Error,UV
ESSFwv,AU,Alpine Unvegetated,Error,UV
ESSFwvp,AU,Alpine Unvegetated,Error ,UV
ESSFxv,AU,Alpine Unvegetated,Error,UV
ICHmc,AU,Alpine Unvegetated,Error,UV
ICHvk,AU,Alpine Unvegetated,Error,UV
ICHwk,AU,Alpine Unvegetated,Error,UV
IMAun,AU,Alpine Unvegetated,Allowed,
MHmm,AU,Alpine Unvegetated,Error,UV
MHmmp,AU,Alpine Unvegetated,Error,UV
MHwh1,AU,Alpine Unvegetated,Error,UV
SBSdh,AU,Alpine Unvegetated,Error,UV
SBSdk,AU,Alpine Unvegetated,Error,UV
SBSdw,AU,Alpine Unvegetated,Error,UV
SBSmc,AU,Alpine Unvegetated,Error,UV
SBSmh,AU,Alpine Unvegetated,Error,UV
SBSmk,AU,Alpine Unvegetated,Error,UV
SBSmw,AU,Alpine Unvegetated,Error,UV
SBSvk,AU,Alpine Unvegetated,Error,UV
SBSwk,AU,Alpine Unvegetated,Error,UV
SWBmk,AU,Alpine Unvegetated,Error,UV
SWBmks,AU,Alpine Unvegetated,Error,UV
BAFAun,AV,Avalanche Track,Correct match of BEC and BEU,
BAFAunp,AV,Avalanche Track,Correct match of BEC and BEU,
BWBSdk,AV,Avalanche Track,Allowed,
BWBSmk,AV,Avalanche Track,Allowed,
BWBSmw,AV,Avalanche Track,Allowed,
BWBSwk,AV,Avalanche Track,Allowed,
CMAun,AV,Avalanche Track,Allowed,
CMAunp,AV,Avalanche Track,Allowed,
CWHvh,AV,Avalanche Track,Allowed,
CWHvm,AV,Avalanche Track,Allowed,
CWHwm,AV,Avalanche Track,Allowed,
CWHws,AV,Avalanche Track,Allowed,
ESSFmc,AV,Avalanche Track,Allowed,
ESSFmcp,AV,Avalanche Track,Correct match of BEC and BEU,
ESSFmk,AV,Avalanche Track,Allowed,
ESSFmkp,AV,Avalanche Track,Allowed,
ESSFmm,AV,Avalanche Track,Allowed,
ESSFmmp,AV,Avalanche Track,Correct match of BEC and BEU,
ESSFmv,AV,Avalanche Track,Allowed,
ESSFmvp,AV,Avalanche Track,Correct match of BEC and BEU,
ESSFun,AV,Avalanche Track,Allowed,
ESSFunp,AV,Avalanche Track,Allowed,
ESSFvc,AV,Avalanche Track,Allowed,
ESSFwc,AV,Avalanche Track,Allowed,
ESSFwcp,AV,Avalanche Track,Correct match of BEC and BEU,
ESSFwcw,AV,Avalanche Track,Allowed,
ESSFwk,AV,Avalanche Track,Allowed,
ESSFwv,AV,Avalanche Track,Allowed,
ESSFwvp,AV,Avalanche Track,Correct match of BEC and BEU,
ESSFxv,AV,Avalanche Track,Allowed,
ICHmc,AV,Avalanche Track,Allowed,
ICHmm,AV,Avalanche Track,Error,UV
ICHvc,AV,Avalanche Track,Allowed,
ICHvk,AV,Avalanche Track,Error,UV
ICHwk,AV,Avalanche Track,Error,UV
IMAun,AV,Avalanche Track,Correct match of BEC and BEU,
MHmm,AV,Avalanche Track,Allowed,
MHmmp,AV,Avalanche Track,Allowed,
MHwh1,AV,Avalanche Track,Allowed,
MHwhp,AV,Avalanche Track,Allowed,
SBPSdc,AV,Avalanche Track,Allowed,
SBPSmc,AV,Avalanche Track,Allowed,
SBPSmk,AV,Avalanche Track,Allowed,
SBSdh,AV,Avalanche Track,Allowed,
SBSdk,AV,Avalanche Track,Allowed,
SBSdw,AV,Avalanche Track,Allowed,
SBSmc,AV,Avalanche Track,Allowed,
SBSmh,AV,Avalanche Track,Allowed,
SBSmk,AV,Avalanche Track,Allowed,
SBSmw,AV,Avalanche Track,Allowed,
SBSun,AV,Avalanche Track,Allowed,
SBSvk,AV,Avalanche Track,Allowed,
SBSwk,AV,Avalanche Track,Allowed,
SWBmk,AV,Avalanche Track,Allowed,
SWBmks,AV,Avalanche Track,Allowed,
BAFAun,BA,Boreal White Spruce - Trembling Aspen,Error,AT
BAFAunp,BA,Boreal White Spruce - Trembling Aspen,Error,AT
BWBSdk,BA,Boreal White Spruce - Trembling Aspen,Allowed,
BWBSmk,BA,Boreal White Spruce - Trembling Aspen,Allowed,
BWBSmw,BA,Boreal White Spruce - Trembling Aspen,Allowed,
BWBSwk,BA,Boreal White Spruce - Trembling Aspen,Allowed,
ESSFmc,BA,Boreal White Spruce - Trembling Aspen,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFmm,BA,Boreal White Spruce - Trembling Aspen,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFmv,BA,Boreal White Spruce - Trembling Aspen,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFvc,BA,Boreal White Spruce - Trembling Aspen,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFwc,BA,Boreal White Spruce - Trembling Aspen,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFwcw,BA,Boreal White Spruce - Trembling Aspen,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFwk,BA,Boreal White Spruce - Trembling Aspen,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFwv,BA,Boreal White Spruce - Trembling Aspen,Error,"Note error ""BEU assigned not allowed in this BGC"" (mapper needs to assess)"
ESSFxv,BA,Boreal White Spruce - Trembling Aspen,Error,
SBSdh,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SBSdk,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SBSdw,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SBSmc,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SBSmh,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SBSmk,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SBSmw,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SBSvk,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SBSwk,BA,Boreal White Spruce - Trembling Aspen,Error,SA
SWBmk,BA,Boreal White Spruce - Trembling Aspen,Error,TB
SWBmks,BA,Boreal White Spruce - Trembling Aspen,Error,TB
BAFAun,BB,Black Spruce Bog,Error,AT
BAFAunp,BB,Black Spruce Bog,Error,AT
BWBSdk,BB,Black Spruce Bog,Allowed,
BWBSmk,BB,Black Spruce Bog,Allowed,
BWBSmw,BB,Black Spruce Bog,Allowed,
BWBSwk,BB,Black Spruce Bog,Allowed,
CWHws,BB,Black Spruce Bog,Error,CB
ESSFmc,BB,Black Spruce Bog,Error,BG
ESSFmcp,BB,Black Spruce Bog,Correct match of BEC and BEU,
ESSFmm,BB,Black Spruce Bog,Error,BG
ESSFmmp,BB,Black Spruce Bog,Correct match of BEC and BEU,
ESSFmv,BB,Black Spruce Bog,Error,BG
ESSFmvp,BB,Black Spruce Bog,Correct match of BEC and BEU,
ESSFvc,BB,Black Spruce Bog,Error,BG
ESSFwc,BB,Black Spruce Bog,Error,BG
ESSFwcp,BB,Black Spruce Bog,Correct match of BEC and BEU,
ESSFwcw,BB,Black Spruce Bog,Error,BG
ESSFwk,BB,Black Spruce Bog,Error,BG
ESSFwv,BB,Black Spruce Bog,Error,BG
ESSFwvp,BB,Black Spruce Bog,Allowed,
ESSFxv,BB,Black Spruce Bog,Error,BG
ICHmc,BB,Black Spruce Bog,Allowed,
ICHmm,BB,Black Spruce Bog,Allowed,
ICHvk,BB,Black Spruce Bog,Allowed,
ICHwk,BB,Black Spruce Bog,Allowed,
IMAun,BB,Black Spruce Bog,Correct match of BEC and BEU,
SBPSdc,BB,Black Spruce Bog,Allowed,
SBPSmc,BB,Black Spruce Bog,Allowed,
SBPSmk,BB,Black Spruce Bog,Allowed,
SBSdh,BB,Black Spruce Bog,Allowed,
SBSdk,BB,Black Spruce Bog,Allowed,
SBSdw,BB,Black Spruce Bog,Allowed,
SBSmc,BB,Black Spruce Bog,Allowed,
SBSmh,BB,Black Spruce Bog,Allowed,
SBSmk,BB,Black Spruce Bog,Allowed,
SBSmw,BB,Black Spruce Bog,Allowed,
SBSvk,BB,Black Spruce Bog,Allowed,
SBSwk,BB,Black Spruce Bog,Allowed,
SWBmk,BB,Black Spruce Bog,Allowed,
SWBmks,BB,Black Spruce Bog,Allowed,
BAFAun,BG,Sphagnum Bog,Error,AT
BAFAunp,BG,Sphagnum Bog,Error,AT
BWBSdk,BG,Sphagnum Bog,Allowed,
BWBSmk,BG,Sphagnum Bog,Allowed,
BWBSmw,BG,Sphagnum Bog,Allowed,
BWBSwk,BG,Sphagnum Bog,Allowed,
CWHvh,BG,Sphagnum Bog,Allowed,
CWHvm,BG,Sphagnum Bog,Allowed,
ESSFmc,BG,Sphagnum Bog,Allowed,
ESSFmcp,BG,Sphagnum Bog,Correct match of BEC and BEU,
ESSFmm,BG,Sphagnum Bog,Allowed,
ESSFmmp,BG,Sphagnum Bog,Correct match of BEC and BEU,
ESSFmv,BG,Sphagnum Bog,Allowed,
ESSFmvp,BG,Sphagnum Bog,Correct match of BEC and BEU,
ESSFvc,BG,Sphagnum Bog,Allowed,
ESSFwc,BG,Sphagnum Bog,Allowed,
ESSFwcp,BG,Sphagnum Bog,Correct match of BEC and BEU,
ESSFwcw,BG,Sphagnum Bog,Allowed,
ESSFwk,BG,Sphagnum Bog,Allowed,
ESSFwv,BG,Sphagnum Bog,Allowed,
ESSFwvp,BG,Sphagnum Bog,Correct match of BEC and BEU,
ESSFxv,BG,Sphagnum Bog,Allowed,
IMAun,BG,Sphagnum Bog,Correct match of BEC and BEU,
MHwhp,BG,Sphagnum Bog,Error,YB
SBPSdc,BG,Sphagnum Bog,Allowed,
SBPSmc,BG,Sphagnum Bog,Allowed,
SBPSmk,BG,Sphagnum Bog,Allowed,
SBSdh,BG,Sphagnum Bog,Allowed,
SBSdk,BG,Sphagnum Bog,Allowed,
SBSdw,BG,Sphagnum Bog,Allowed,
SBSmc,BG,Sphagnum Bog,Allowed,
SBSmh,BG,Sphagnum Bog,Allowed,
SBSmk,BG,Sphagnum Bog,Allowed,
SBSmw,BG,Sphagnum Bog,Allowed,
SBSvk,BG,Sphagnum Bog,Allowed,
SBSwk,BG,Sphagnum Bog,Allowed,
SWBmk,BG,Sphagnum Bog,Allowed,
SWBmks,BG,Sphagnum Bog,Allowed,
BAFAun,BK,Subalpine Fir - Scrub Birch Krummholz,Correct match of BEC and BEU,
BAFAunp,BK,Subalpine Fir - Scrub Birch Krummholz,Correct match of BEC and BEU,
BWBSdk,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FB
BWBSmk,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FB
BWBSmw,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FB
BWBSwk,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FB
ESSFmc,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
ESSFmcp,BK,Subalpine Fir - Scrub Birch Krummholz,Correct match of BEC and BEU,
ESSFmm,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
ESSFmmp,BK,Subalpine Fir - Scrub Birch Krummholz,Allowed,
ESSFmv,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
ESSFmvp,BK,Subalpine Fir - Scrub Birch Krummholz,Correct match of BEC and BEU,
ESSFvc,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
ESSFwc,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
ESSFwcp,BK,Subalpine Fir - Scrub Birch Krummholz,Correct match of BEC and BEU,
ESSFwcw,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
ESSFwk,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
ESSFwv,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
ESSFwvp,BK,Subalpine Fir - Scrub Birch Krummholz,Allowed,
ESSFxv,BK,Subalpine Fir - Scrub Birch Krummholz,Error,FP
SBSdh,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SBSdk,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SBSdw,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SBSmc,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SBSmh,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SBSmk,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SBSmw,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SBSvk,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SBSwk,BK,Subalpine Fir - Scrub Birch Krummholz,Error,MS
SWBmk,BK,Subalpine Fir - Scrub Birch Krummholz,Allowed,
SWBmks,BK,Subalpine Fir - Scrub Birch Krummholz,Allowed,
BWBSdk,BL,Black Spruce - Lodgepole Pine,Allowed,
BWBSmk,BL,Black Spruce - Lodgepole Pine,Allowed,
BWBSmw,BL,Black Spruce - Lodgepole Pine,Allowed,
BWBSwk,BL,Black Spruce - Lodgepole Pine,Allowed,
ESSFmc,BL,Black Spruce - Lodgepole Pine,Error,EF
ESSFmm,BL,Black Spruce - Lodgepole Pine,Error,EF
ESSFmmp,BL,Black Spruce - Lodgepole Pine,Allowed match of BEC and BEU,
ESSFmv,BL,Black Spruce - Lodgepole Pine,Error,EF
ESSFvc,BL,Black Spruce - Lodgepole Pine,Error,EF
ESSFwc,BL,Black Spruce - Lodgepole Pine,Error,EF
ESSFwcw,BL,Black Spruce - Lodgepole Pine,Error,EF
ESSFwk,BL,Black Spruce - Lodgepole Pine,Error,EF
ESSFwv,BL,Black Spruce - Lodgepole Pine,Error,EF
ESSFxv,BL,Black Spruce - Lodgepole Pine,Error,EF
SBPSdc,BL,Black Spruce - Lodgepole Pine,Allowed,
SBPSmc,BL,Black Spruce - Lodgepole Pine,Allowed,
SBPSmk,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSdh,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSdk,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSdw,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSmc,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSmh,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSmk,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSmw,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSvk,BL,Black Spruce - Lodgepole Pine,Allowed,
SBSwk,BL,Black Spruce - Lodgepole Pine,Allowed,
SWBmk,BL,Black Spruce - Lodgepole Pine,Error,BB
SWBmks,BL,Black Spruce - Lodgepole Pine,Error,BB
BWBSdk,BP,Boreal White Spruce - Lodgepole Pine,Allowed,
BWBSmk,BP,Boreal White Spruce - Lodgepole Pine,Allowed,
BWBSmw,BP,Boreal White Spruce - Lodgepole Pine,Allowed,
BWBSwk,BP,Boreal White Spruce - Lodgepole Pine,Allowed,
ESSFmc,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
ESSFmm,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
ESSFmv,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
ESSFvc,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
ESSFwc,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
ESSFwcp,BP,Boreal White Spruce - Lodgepole Pine,Error,FP
ESSFwcw,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
ESSFwk,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
ESSFwv,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
ESSFxv,BP,Boreal White Spruce - Lodgepole Pine,Error,EF
SBSdh,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SBSdk,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SBSdw,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SBSmc,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SBSmh,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SBSmk,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SBSmw,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SBSvk,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SBSwk,BP,Boreal White Spruce - Lodgepole Pine,Error,SL
SWBmk,BP,Boreal White Spruce - Lodgepole Pine,Error,SA
SWBmks,BP,Boreal White Spruce - Lodgepole Pine,Error,SA
BAFAun,BR,Brush - specific to NSR sites and NCBR in VRI,Error,AS
BAFAunp,BR,Brush - specific to NSR sites and NCBR in VRI,Error,AS
BWBSdk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
BWBSmk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
BWBSmw,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
BWBSwk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFmc,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFmcp,BR,Brush - specific to NSR sites and NCBR in VRI,Error,AS
ESSFmm,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFmmp,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFmv,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFmvp,BR,Brush - specific to NSR sites and NCBR in VRI,Error,AS
ESSFvc,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFwc,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
