FREQ,BGC_Label,BGC_ZONE,BGC_SUBZON,BGC_VRT,BGC_PHASE,BEU_MC,REALM,GROUP,CLASS,KIND,Forested (Y/N),Strct_Climax,Stand_Climax,Stand_Age_0-15,Stand_Age_16-30,Stand_Age_31-50,Stand_Age_51-80,Stand_Age_80+,Struct_Age_0-3,Struct_Age_4-10,Struct_Age_11-30,Struct_Age_31-40,Struct_Age_41-60,Struct_Age_61-80,Struct_Age_81-139,Struct_Age_140-249,Struct_Age_250+,Snow_Code
,,BAFA,un,,,AG,T,A,g,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,BAFA,un,,,AH,T,A,h,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
,,BAFA,un,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,BAFA,un,,,AN,T,A,,M,N,1c,,,,,,,1c,1c,1c,1c,1c,1c,1c,1c,1c,
,,BAFA,un,,,AS,T,A,s,M,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
,,BAFA,un,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
,,BAFA,un,,,AU,T,A,,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
,,BAFA,un,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
,,BAFA,un,,,BK,T,S,k,M,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,BAFA,un,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,BAFA,un,,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,BAFA,un,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,BAFA,un,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
,,BAFA,un,,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
382,,BAFA,un,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,BAFA,un,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
121,,BAFA,un,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
83,,BAFA,un,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
6,,BAFA,un,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
1199,,BAFA,un,,,RM,T,X,,U,N,3,,,,,,,2,2,3,3,3,3,3,3,3,
3,,BAFA,un,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
19,,BAFA,un,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
3,,BAFA,un,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1600,,BAFA,un,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
79,,BAFA,un,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
174,,BAFA,un,,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
228,,BAFA,un,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
4515,,BAFA,un,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
8,,BAFA,unp,,,AG,T,A,g,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
98,,BAFA,unp,,,AH,T,A,h,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
16,,BAFA,unp,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
3185,,BAFA,unp,,,AN,T,A,,M,N,1c,,,,,,,1c,1c,1c,1c,1c,1c,1c,1c,1c,
85,,BAFA,unp,,,AS,T,A,s,M,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
